epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,4788.76,1.41101,1.20443,1.14409,0.43374,0.34694,0.3467,0.20697,1.4039,1.20837,1.1486,0.0041095,0.0041095,0.0041095
121,4827.45,1.40982,1.19894,1.13803,0.42223,0.35852,0.34448,0.2051,1.41131,1.2062,1.15159,0.00406,0.00406,0.00406
122,4865.19,1.40933,1.19238,1.14203,0.43476,0.35854,0.3456,0.20431,1.41482,1.21515,1.15326,0.0040105,0.0040105,0.0040105
123,4906.82,1.41069,1.19471,1.13856,0.42271,0.36835,0.34824,0.20593,1.40897,1.20237,1.14999,0.003961,0.003961,0.003961
124,4945.67,1.40427,1.19157,1.13488,0.42628,0.35642,0.34751,0.20587,1.40958,1.19889,1.15061,0.0039115,0.0039115,0.0039115
125,4984.92,1.40864,1.18665,1.14197,0.42077,0.35949,0.34661,0.20609,1.40668,1.19817,1.14815,0.003862,0.003862,0.003862
126,5022.92,1.40332,1.18511,1.13518,0.42886,0.35099,0.34938,0.20614,1.40298,1.19966,1.14613,0.0038125,0.0038125,0.0038125
127,5062.32,1.41206,1.19592,1.14028,0.43528,0.35451,0.34939,0.20685,1.39696,1.19539,1.14402,0.003763,0.003763,0.003763
128,5101.02,1.39778,1.17638,1.13778,0.47699,0.34078,0.35206,0.20775,1.40122,1.19234,1.14623,0.0037135,0.0037135,0.0037135
129,5139.14,1.4034,1.17279,1.12739,0.45275,0.34683,0.35071,0.20759,1.40145,1.19036,1.14584,0.003664,0.003664,0.003664
130,5178.27,1.40219,1.17025,1.13271,0.4183,0.35696,0.34694,0.20592,1.40181,1.19487,1.14622,0.0036145,0.0036145,0.0036145
131,5221.58,1.40503,1.17777,1.13214,0.4072,0.36715,0.34897,0.20665,1.39761,1.18541,1.14209,0.003565,0.003565,0.003565
132,5259.76,1.39684,1.16637,1.13216,0.41321,0.36548,0.35098,0.20875,1.40105,1.18432,1.14654,0.0035155,0.0035155,0.0035155
133,5298.41,1.3918,1.15441,1.12792,0.42348,0.36049,0.35058,0.20767,1.40253,1.18541,1.14548,0.003466,0.003466,0.003466
134,5337.42,1.38869,1.16176,1.12659,0.43366,0.36195,0.35234,0.20873,1.40739,1.18921,1.14838,0.0034165,0.0034165,0.0034165
135,5388.87,1.3841,1.15314,1.12967,0.44508,0.35978,0.35626,0.21184,1.40285,1.17745,1.14854,0.003367,0.003367,0.003367
136,5426.65,1.38931,1.16081,1.12372,0.43819,0.36526,0.35432,0.2104,1.40213,1.18211,1.14459,0.0033175,0.0033175,0.0033175
137,5465.27,1.38557,1.15205,1.12566,0.4274,0.36581,0.3554,0.21128,1.40001,1.17649,1.14583,0.003268,0.003268,0.003268
138,5503.35,1.38235,1.1485,1.12314,0.44138,0.35628,0.35725,0.21201,1.39841,1.16983,1.14464,0.0032185,0.0032185,0.0032185
139,5542.43,1.38376,1.1445,1.12492,0.44928,0.35512,0.35898,0.21386,1.39543,1.16613,1.14419,0.003169,0.003169,0.003169
140,5581.53,1.3878,1.14573,1.12026,0.44383,0.35569,0.3599,0.21323,1.39893,1.16456,1.14479,0.0031195,0.0031195,0.0031195
141,5622.37,1.37677,1.138,1.12485,0.45476,0.35861,0.36046,0.21336,1.39781,1.16353,1.14406,0.00307,0.00307,0.00307
142,5659.86,1.37674,1.14035,1.12081,0.44888,0.35782,0.36061,0.21533,1.39717,1.16386,1.14216,0.0030205,0.0030205,0.0030205
143,5698.64,1.38184,1.13877,1.11855,0.4454,0.36412,0.35915,0.21503,1.39635,1.1663,1.1398,0.002971,0.002971,0.002971
144,5737.58,1.38135,1.14565,1.11954,0.44917,0.36986,0.3626,0.21645,1.39595,1.16247,1.14104,0.0029215,0.0029215,0.0029215
145,5776.63,1.37563,1.13826,1.11901,0.43145,0.37532,0.35804,0.21372,1.39632,1.17064,1.14061,0.002872,0.002872,0.002872
146,5815.12,1.37244,1.1293,1.11761,0.43991,0.36098,0.35849,0.21357,1.39469,1.17366,1.14008,0.0028225,0.0028225,0.0028225
147,5853.11,1.37507,1.13571,1.11889,0.44434,0.35976,0.3591,0.21526,1.39246,1.16985,1.14074,0.002773,0.002773,0.002773
148,5892.06,1.37007,1.12026,1.11253,0.45104,0.35938,0.35768,0.21362,1.39464,1.16666,1.14021,0.0027235,0.0027235,0.0027235
149,5930.78,1.36718,1.12948,1.11566,0.44921,0.36068,0.35721,0.21367,1.39334,1.16459,1.13957,0.002674,0.002674,0.002674
150,5968.85,1.37153,1.12105,1.11377,0.4476,0.35734,0.35859,0.21393,1.39402,1.16262,1.13946,0.0026245,0.0026245,0.0026245
151,6007.26,1.37059,1.12359,1.115,0.43903,0.36571,0.35889,0.21406,1.39463,1.16182,1.13956,0.002575,0.002575,0.002575
152,6045.37,1.36551,1.1158,1.11438,0.45185,0.36296,0.36057,0.21477,1.3969,1.16171,1.13948,0.0025255,0.0025255,0.0025255
153,6116.33,1.35939,1.10822,1.10618,0.45759,0.3593,0.36016,0.21479,1.3952,1.15997,1.13808,0.002476,0.002476,0.002476
154,6153.76,1.3576,1.10711,1.10436,0.44596,0.36379,0.36178,0.21632,1.39555,1.15748,1.13739,0.0024265,0.0024265,0.0024265
155,6192.38,1.3601,1.10711,1.11031,0.44878,0.36593,0.3626,0.21544,1.39558,1.1553,1.13743,0.002377,0.002377,0.002377
156,6231.38,1.35264,1.10454,1.10902,0.43966,0.36371,0.36235,0.21518,1.39547,1.1555,1.13765,0.0023275,0.0023275,0.0023275
